deviation_factor,midpoint
1.47,"(16, 39)"
1.47,"(17, 9)"
1.47,"(17, 39)"
1.47,"(18, 9)"
1.47,"(18, 39)"
1.47,"(19, 9)"
1.47,"(19, 39)"
1.47,"(20, 9)"
1.47,"(20, 39)"
1.47,"(21, 9)"
1.47,"(21, 39)"
1.47,"(22, 9)"
1.47,"(22, 39)"
1.47,"(23, 9)"
1.47,"(23, 39)"
1.47,"(24, 9)"
1.47,"(24, 39)"
1.47,"(25, 9)"
1.47,"(25, 39)"
1.47,"(26, 9)"
1.47,"(26, 39)"
1.47,"(27, 9)"
1.47,"(27, 39)"
1.47,"(28, 9)"
1.47,"(28, 39)"
1.47,"(29, 9)"
1.47,"(29, 39)"
1.47,"(30, 9)"
1.47,"(30, 39)"
1.47,"(31, 9)"
1.47,"(31, 39)"
1.47,"(32, 9)"
1.47,"(32, 39)"
1.47,"(33, 9)"
1.47,"(33, 39)"
1.47,"(34, 9)"
1.47,"(34, 39)"
1.47,"(35, 9)"
1.47,"(35, 39)"
1.51,"(5, 8)"
1.51,"(6, 8)"
1.51,"(7, 8)"
1.51,"(8, 8)"
1.51,"(9, 8)"
1.51,"(15, 8)"
1.51,"(16, 8)"
1.51,"(17, 8)"
1.51,"(18, 8)"
1.51,"(19, 8)"
1.51,"(25, 8)"
1.51,"(26, 8)"
1.51,"(27, 8)"
1.51,"(28, 8)"
1.51,"(29, 8)"
1.51,"(35, 8)"
1.55,"(5, 7)"
1.55,"(6, 7)"
1.55,"(7, 7)"
1.55,"(8, 7)"
1.55,"(9, 7)"
1.55,"(15, 7)"
1.55,"(16, 7)"
1.55,"(17, 7)"
1.55,"(18, 7)"
1.55,"(19, 7)"
1.55,"(25, 7)"
1.55,"(26, 7)"
1.55,"(27, 7)"
1.55,"(28, 7)"
1.55,"(29, 7)"
1.55,"(35, 7)"
1.6,"(5, 6)"
1.6,"(6, 6)"
1.6,"(7, 6)"
1.6,"(8, 6)"
1.6,"(9, 6)"
1.6,"(15, 6)"
1.6,"(16, 6)"
1.6,"(17, 6)"
1.6,"(18, 6)"
1.6,"(19, 6)"
1.6,"(25, 6)"
1.6,"(26, 6)"
1.6,"(27, 6)"
1.6,"(28, 6)"
1.6,"(29, 6)"
1.6,"(35, 6)"
1.64,"(5, 5)"
1.64,"(6, 5)"
1.64,"(7, 5)"
1.64,"(8, 5)"
1.64,"(9, 5)"
